fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"51","1",ירושלים,"3000",ירושלים,244.4,"126","ראשון לציון,7 ",מנחת שלמה, , ,"594"
"52","1",ירושלים,"3000",ירושלים,244.5,"126","ראשון לציון,7 ",מנחת שלמה, , ,"592"
"53","1",ירושלים,"3000",ירושלים,249.1,"102","נג'ארה,27 ",מינהל קהילתי מיתרים,כ,כ,"526"
"54","1",ירושלים,"3000",ירושלים,249.2,"102","נג'ארה,27 ",מינהל קהילתי מיתרים,כ,כ,"526"
"55","1",ירושלים,"3000",ירושלים,249.3,"102","נג'ארה,27 ",מינהל קהילתי מיתרים, , ,"526"
"56","1",ירושלים,"3000",ירושלים,249.4,"102","נג'ארה,27 ",מינהל קהילתי מיתרים, , ,"526"
"57","1",ירושלים,"3000",ירושלים,254,"93","הרב אבן דנן,30 ",בית ספר בית יעקב הר נוף,כ,כ,"489"
"58","1",ירושלים,"3000",ירושלים,256,"93","הרב אבן דנן,30 ",בית ספר בית יעקב הר נוף, , ,"611"
"59","1",ירושלים,"3000",ירושלים,265,"380","מנחם מנדל משקלוב,24 ",מועדון גיל הזהב (בניין כללית), , ,"579"
"60","1",ירושלים,"3000",ירושלים,309.1,"111","הרפוב הדומיניקנית,3 ",מועדון יוצאי אתיופיה,כ,כ,"352"
"61","1",ירושלים,"3000",ירושלים,309.2,"111","הרפוב הדומיניקנית,3 ",מועדון יוצאי אתיופיה, , ,"352"
"62","1",ירושלים,"3000",ירושלים,314,"132","בורוכוב,9א",בית זוסמן (מרכז ליקויי שמיעה),כ,כ,"588"
"63","1",ירושלים,"3000",ירושלים,319,"132","בורוכוב,9א",בית זוסמן (מרכז ליקויי שמיעה), , ,"687"
"64","1",ירושלים,"3000",ירושלים,323.1,"19","המעיין,2 ",מרכז קהילתי - עין כרם,כ,כ,"517"
"65","1",ירושלים,"3000",ירושלים,323.2,"19","המעיין,2 ",מרכז קהילתי - עין כרם,כ, ,"517"
"66","1",ירושלים,"3000",ירושלים,323.3,"19","המעיין,2 ",מרכז קהילתי - עין כרם, , ,"516"
