fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"1063","6",עכו,"325",מצובה,1,"1",מצובה,מועדון לחבר,כ,כ,"419"
"1064","6",עכו,"325",מצובה,2,"1",מצובה,מועדון לחבר, , ,"463"
"1065","6",עכו,"1184",מתת,1,"1",מתת,מועדון פיס לנוער,כ,כ,"178"
"1066","6",עכו,"9100",נהריה,5.1,"50","ההגנה,22 ",מועדון נוער איילון,כ,כ,"675"
"1067","6",עכו,"9100",נהריה,5.2,"50","ההגנה,22 ",מועדון נוער איילון,כ, ,"675"
"1068","6",עכו,"9100",נהריה,5.3,"50","ההגנה,22 ",מועדון נוער איילון,כ, ,"675"
"1069","6",עכו,"9100",נהריה,6,"56","הרצל,18 ",גן אלמוגן, , ,"583"
"1070","6",עכו,"9100",נהריה,11,"8",טרומפלדור,גן יהודה הלוי, , ,"569"
"1071","6",עכו,"9100",נהריה,18.1,"58","הר תבור,1 ",מידעטק 2000,כ,כ,"657"
"1072","6",עכו,"9100",נהריה,18.2,"58","הר תבור,1 ",מידעטק 2000,כ, ,"657"
"1073","6",עכו,"9100",נהריה,18.3,"58","הר תבור,1 ",מידעטק 2000, , ,"657"
"1074","6",עכו,"9100",נהריה,26,"65","רמז,44 ",מרכז קהילתי, , ,"491"
"1075","6",עכו,"9100",נהריה,29,"54","הזמיר,16 ",גן סנונית, , ,"635"
"1076","6",עכו,"9100",נהריה,30,"71","הזמיר,1 ",גן כנרית, , ,"738"
"1077","6",עכו,"9100",נהריה,35,"53","נחליאלי,9 ",מועדון נוער נוה רבין, , ,"692"
"1078","6",עכו,"9100",נהריה,38.1,"36","רמז,21 ",מרכז פיס - אולם ספורט,כ,כ,"682"
"1079","6",עכו,"9100",נהריה,38.2,"36","רמז,21 ",מרכז פיס - אולם ספורט,כ, ,"682"
"1080","6",עכו,"9100",נהריה,38.3,"36","רמז,21 ",מרכז פיס - אולם ספורט, , ,"682"
"1081","6",עכו,"9100",נהריה,38.4,"36","רמז,21 ",מרכז פיס - אולם ספורט, , ,"682"
"1082","6",עכו,"9100",נהריה,38.5,"36","רמז,21 ",מרכז פיס - אולם ספורט, , ,"682"
"1083","6",עכו,"9100",נהריה,38.6,"36","רמז,21 ",מרכז פיס - אולם ספורט, , ,"678"
"1084","6",עכו,"9100",נהריה,42,"65","רמז,44 ",מרכז קהילתי,כ,כ,"590"
"1085","6",עכו,"9100",נהריה,43,"62","ז'בוטינסקי,12 ",מוזיאון מגדל המים,כ, ,"754"
"1086","6",עכו,"9100",נהריה,44,"62","ז'בוטינסקי,12 ",מוזיאון מגדל המים,כ,כ,"745"
"1087","6",עכו,"9100",נהריה,49,"59","אחד העם,8 ",משרדי עיר ללא אלימות, , ,"767"
"1088","6",עכו,"9100",נהריה,51.1,"45","שקד,17 ",מועדון נוער, , ,"618"
"1089","6",עכו,"9100",נהריה,51.2,"45","שקד,17 ",מועדון נוער, , ,"618"
"1090","6",עכו,"9100",נהריה,51.3,"45","שקד,17 ",מועדון נוער, , ,"618"
"1091","6",עכו,"9100",נהריה,51.4,"45","שקד,17 ",מועדון נוער, , ,"618"
"1092","6",עכו,"9100",נהריה,57,"57","שפירא,1 ",גן השלום, , ,"577"
"1093","6",עכו,"9100",נהריה,60,"1","גרינבוים,14 ",גן ילדים שיבולים, , ,"654"
"1094","6",עכו,"9100",נהריה,72,"47","גרינבוים,14 ",גן ילדים האורן, , ,"449"
"1095","6",עכו,"9100",נהריה,73,"33","הרצל,18 ",גן אלון, , ,"546"
"1096","6",עכו,"9100",נהריה,77.1,"74","ויצמן,88 ",אולפנת הראל לבנות,כ,כ,"700"
"1097","6",עכו,"9100",נהריה,77.2,"74","ויצמן,88 ",אולפנת הראל לבנות,כ, ,"700"
"1098","6",עכו,"9100",נהריה,77.3,"74","ויצמן,88 ",אולפנת הראל לבנות,כ, ,"700"
"1099","6",עכו,"9100",נהריה,77.4,"74","ויצמן,88 ",אולפנת הראל לבנות,כ, ,"698"
"1100","6",עכו,"9100",נהריה,80,"53","נחליאלי,9 ",מועדון נוער נוה רבין, , ,"690"
"1101","6",עכו,"9100",נהריה,81,"53","נחליאלי,9 ",מועדון נוער נוה רבין, , ,"680"
"1102","6",עכו,"9100",נהריה,84,"55","הזמיר,16 ",גן נשר, , ,"695"
"1103","6",עכו,"9100",נהריה,85,"72","גרינבוים,2 ",גן כלנית, , ,"558"
"1104","6",עכו,"9100",נהריה,86,"70","הזמיר,1 ",גן שלדג, , ,"741"
"1105","6",עכו,"9100",נהריה,951,"77",הצדף,גן צדף - שכונת אכזיב ים, , ,"534"
"1106","6",עכו,"1314",נווה זיו,1,"1",נווה זיו,מבנה רב תכליתי,כ,כ,"609"
"1107","6",עכו,"1147",נטועה,1,"1",נטועה,מועדון (חדר כושר),כ,כ,"257"
"1108","6",עכו,"1143",נס עמים,1,"1",נס עמים,מועדון לחבר, , ,"256"
"1109","6",עכו,"792",נתיב השיירה,1,"1",נתיב השיירה,מועדון חברים,כ,כ,"419"
"1110","6",עכו,"454",סער,1,"1",סער,מועדון לחבר,כ,כ,"691"
"1111","6",עכו,"892",עבדון,1,"1",עבדון,מועדון האזרח הבוגר,כ,כ,"528"
"1112","6",עכו,"376",עברון,1,"1",עברון,מועדון לחבר,כ,כ,"700"
"1113","6",עכו,"289",עין המפרץ,1.1,"1",עין המפרץ,חדר מוסיקה במועדון,כ,כ,"393"
"1114","6",עכו,"289",עין המפרץ,1.2,"1",עין המפרץ,חדר מוסיקה במועדון, , ,"340"
"1115","6",עכו,"813",עין יעקב,1.1,"1","עין יעקב,1 ",מועדון אוהל עזרה,כ,כ,"413"
"1116","6",עכו,"813",עין יעקב,1.2,"1","עין יעקב,1 ",מועדון אוהל עזרה, , ,"363"
"1117","6",עכו,"7600",עכו,2,"112","דרך הארבעה,22 ",גן ארגמן,כ,כ,"696"
"1118","6",עכו,"7600",עכו,5.1,"113","שלום הגליל,3 ",מרכז הטניס, , ,"506"
"1119","6",עכו,"7600",עכו,5.2,"113","שלום הגליל,3 ",מרכז הטניס, , ,"506"
"1120","6",עכו,"7600",עכו,5.3,"113","שלום הגליל,3 ",מרכז הטניס, , ,"505"
"1121","6",עכו,"7600",עכו,21.1,"17","הרצוג,16 ",מרכז קהילתי - בית היימן,כ,כ,"357"
"1122","6",עכו,"7600",עכו,21.2,"17","הרצוג,16 ",מרכז קהילתי - בית היימן, , ,"357"
"1123","6",עכו,"7600",עכו,30,"25","דרך הארבעה,38 ",גן ילדים צבר (מס' 30),כ,כ,"530"
"1124","6",עכו,"7600",עכו,36.1,"35","יהושפט,24 ",גן נחליאלי,כ,כ,"375"
"1125","6",עכו,"7600",עכו,36.2,"115","יהושפט,24 ",גן ניצנים, , ,"374"
"1126","6",עכו,"7600",עכו,37,"29","דרך הארבעה,38 ",גן עפרוני (מס' 92),כ,כ,"541"
"1127","6",עכו,"7600",עכו,38,"44","דרך הארבעה,22 ",גן פרחי נוי,כ,כ,"517"
"1128","6",עכו,"7600",עכו,41,"30",פנקס,בית ספר אל- מנארה, , ,"628"
"1129","6",עכו,"7600",עכו,43,"111","ההגנה,11 ",מרכז יום לקשיש, , ,"576"
"1130","6",עכו,"7600",עכו,44,"111","ההגנה,11 ",מרכז יום לקשיש, , ,"521"
"1131","6",עכו,"7600",עכו,45,"30",פנקס,בית ספר אל- מנארה,כ,כ,"518"
"1132","6",עכו,"7600",עכו,46,"30",פנקס,בית ספר אל- מנארה, , ,"456"
"1133","6",עכו,"7600",עכו,50,"13","האשל,9 ",גן דוכיפת, , ,"429"
"1134","6",עכו,"7600",עכו,52,"7","הדקל,1 ",גן הדקל (מס' 32), , ,"632"
"1135","6",עכו,"7600",עכו,53,"33","הרימון,35 ",גן אלמחבה (לשעבר עינבלים),כ,כ,"665"
"1136","6",עכו,"7600",עכו,55.1,"106","עפרוני,10 ",המרכז לגיל הרך,כ,כ,"684"
"1137","6",עכו,"7600",עכו,55.2,"106","עפרוני,10 ",המרכז לגיל הרך, , ,"683"
"1138","6",עכו,"7600",עכו,57,"100","הדקל,1 ",גן צפרירים (מס' 33), , ,"643"
"1139","6",עכו,"7600",עכו,60,"41","האשל,9 ",גן חוחית,כ,כ,"547"
"1140","6",עכו,"7600",עכו,63,"101","הדקל,1 ",גן יסמין (מס' 34), , ,"413"
"1141","6",עכו,"7600",עכו,64.1,"15","הכרם,2 ",גן ילדים הגפן, , ,"660"
"1142","6",עכו,"708",עמקה,1,"1",עמקה,מועדון פיס לנוער,כ,כ,"610"
"1143","6",עכו,"1246",עראמשה,2,"3",עראמשה,בית הספר היסודי, , ,"579"
"1144","6",עכו,"1185",פלך,1,"1",פלך,מזכירות,כ,כ,"115"
"1145","6",עכו,"535",פסוטה,1,"2",פסוטה,מועדון לקשיש בית פיס לגיל הזהב,כ,כ,"686"
"1146","6",עכו,"536",פקיעין (בוקייעה),1,"4",נאדי אלאחווה,מועדון גיל הזהב נאדי אל אחווה,כ,כ,"600"
"1147","6",עכו,"536",פקיעין (בוקייעה),3.1,"3","פקיעין (בוקייעה),1 ",מועדונית,כ,כ,"663"
"1148","6",עכו,"536",פקיעין (בוקייעה),3.2,"3","פקיעין (בוקייעה),1 ",מועדונית,כ, ,"662"
"1149","6",עכו,"281",פקיעין חדשה,1,"1",פקיעין חדשה,בית העם,כ,כ,"355"
"1150","6",עכו,"774",צוריאל,1,"1",צוריאל,בית העם, , ,"330"
"1151","6",עכו,"390",רגבה,1,"1",רגבה,מועדון בית העם, , ,"470"
"1152","6",עכו,"390",רגבה,2,"1",רגבה,מועדון בית העם,כ,כ,"386"
"1153","6",עכו,"282",שבי ציון,1,"1",שבי ציון,אולם לווינגרט,כ, ,"536"
"1154","6",עכו,"282",שבי ציון,2,"1",שבי ציון,אולם לווינגרט,כ,כ,"408"
"1155","6",עכו,"614",שומרה,1,"1",שומרה,בית העם, , ,"310"
"1156","6",עכו,"658",שייח' דנון,3.3,"3",שייח' דנון,בית הקשיש, , ,"491"
"1157","6",עכו,"812",שלומי,2.1,"10","שד בן גוריון,236 ",מרכז יום גיל הזהב,כ,כ,"360"
"1158","6",עכו,"812",שלומי,2.2,"10","שד בן גוריון,236 ",מרכז יום גיל הזהב, , ,"348"
"1159","6",עכו,"812",שלומי,5,"11",שכ שלומית,גן סלעית, , ,"499"
"1160","6",עכו,"812",שלומי,6,"14","סחלב,1 ",גן ילדים אורן,כ,כ,"572"
"1161","6",עכו,"812",שלומי,7,"12",האלון,מעון יום הגן הקסום, , ,"744"
"1162","6",עכו,"812",שלומי,8,"15","סחלב,1 ",גן ברוש,כ,כ,"738"
"1163","6",עכו,"812",שלומי,9,"18",שכ שלומית,גן דוכיפת, , ,"486"
"1164","6",עכו,"432",שמרת,1,"1",שמרת,מזכירות הקבוץ - אולם הישיבות,כ,כ,"468"
"1165","6",עכו,"1045",שתולה,1,"2",שתולה,מועדון חברים, , ,"240"
"1166","6",עכו,"1172",תובל,1,"1",תובל,חדר אוכל, , ,"324"
"1167","7",חיפה,"4000",חיפה,1.1,"88","הזית,5 ",מועדון גמלאים סכנין,כ,כ,"530"
"1168","7",חיפה,"4000",חיפה,1.2,"88","הזית,5 ",מועדון גמלאים סכנין,כ, ,"530"
"1169","7",חיפה,"4000",חיפה,1.3,"88","הזית,5 ",מועדון גמלאים סכנין, , ,"530"
"1170","7",חיפה,"4000",חיפה,14.1,"19","שטרן יוסף,9 ",ישיבת פרחי אהרן,כ,כ,"687"
"1171","7",חיפה,"4000",חיפה,14.2,"19","שטרן יוסף,9 ",ישיבת פרחי אהרן,כ, ,"687"
"1172","7",חיפה,"4000",חיפה,58.1,"199","מרכוס הרב,9 ",אגף חינוך של העירייה,כ,כ,"530"
"1173","7",חיפה,"4000",חיפה,58.2,"199","מרכוס הרב,9 ",אגף חינוך של העירייה,כ, ,"530"
"1174","7",חיפה,"4000",חיפה,71,"240","הגנים,21 ",המכללה האקדמית ויצו,כ, ,"688"
"1175","7",חיפה,"4000",חיפה,72,"240","הגנים,21 ",המכללה האקדמית ויצו,כ,כ,"624"
"1176","7",חיפה,"4000",חיפה,81,"58","פרץ י. ל.,20 ",בית ארדשטיין, , ,"683"
"1177","7",חיפה,"4000",חיפה,86,"240","הגנים,21 ",המכללה האקדמית ויצו, , ,"693"
"1178","7",חיפה,"4000",חיפה,88,"273","שומאכר גוטליב,4 ",מועדון הנוער הנוצרי, , ,"608"
"1179","7",חיפה,"4000",חיפה,102.1,"222","ליבריה,11 ",גני ילדים הוד כרמל, , ,"688"
"1180","7",חיפה,"4000",חיפה,102.2,"222","ליבריה,11 ",גני ילדים הוד כרמל, , ,"688"
"1181","7",חיפה,"4000",חיפה,102.3,"222","ליבריה,11 ",גני ילדים הוד כרמל, , ,"688"
"1182","7",חיפה,"4000",חיפה,102.4,"222","ליבריה,11 ",גני ילדים הוד כרמל, , ,"688"
"1183","7",חיפה,"4000",חיפה,102.5,"222","ליבריה,11 ",גני ילדים הוד כרמל, , ,"686"
"1184","7",חיפה,"4000",חיפה,131,"137","העליה השניה,45 ",מרכז קהילתי בת גלים,כ,כ,"555"
"1185","7",חיפה,"4000",חיפה,140,"196","העוגן,39 ",גן ילדים שחר, , ,"531"
"1186","7",חיפה,"4000",חיפה,141,"137","העליה השניה,45 ",מרכז קהילתי בת גלים,כ,כ,"691"
"1187","7",חיפה,"4000",חיפה,143,"137","העליה השניה,45 ",מרכז קהילתי בת גלים,כ,כ,"595"
"1188","7",חיפה,"4000",חיפה,146,"137","העליה השניה,45 ",מרכז קהילתי בת גלים, , ,"645"
"1189","7",חיפה,"4000",חיפה,147,"224","יציאת אירופה,19 ",גן ילדים עין הים - אורות, , ,"554"
"1190","7",חיפה,"4000",חיפה,152,"227","יהושפט המלך,6א",מרכז קהילתי נווה דוד,כ,כ,"611"
"1191","7",חיפה,"4000",חיפה,177.1,"235","חוף השנהב,39 ",מועדון צופים,כ,כ,"534"
"1192","7",חיפה,"4000",חיפה,177.2,"235","חוף השנהב,39 ",מועדון צופים,כ, ,"534"
"1193","7",חיפה,"4000",חיפה,177.3,"235","חוף השנהב,39 ",מועדון צופים, , ,"534"
"1194","7",חיפה,"4000",חיפה,177.4,"235","חוף השנהב,39 ",מועדון צופים, , ,"534"
"1195","7",חיפה,"4000",חיפה,197.1,"257","ולנברג ראול,11 ",מרכז קהילתי,כ,כ,"661"
"1196","7",חיפה,"4000",חיפה,197.2,"257","ולנברג ראול,11 ",מרכז קהילתי,כ, ,"661"
"1197","7",חיפה,"4000",חיפה,200,"200","הצלפים,5 ",גן ילדים רוממה כלנית, , ,"611"
"1198","7",חיפה,"4000",חיפה,212.1,"260","לוטוס,16 ",בית ספר הרצל - שלוחה, , ,"628"
"1199","7",חיפה,"4000",חיפה,212.2,"260","לוטוס,16 ",בית ספר הרצל - שלוחה, , ,"628"
"1200","7",חיפה,"4000",חיפה,212.3,"260","לוטוס,16 ",בית ספר הרצל - שלוחה, , ,"626"
"1201","7",חיפה,"4000",חיפה,216,"102","הלילך,26 ",גן שקמה, , ,"524"
"1202","7",חיפה,"4000",חיפה,232,"226","חכים אליהו,6 ",מרכז קריגר,כ,כ,"630"
"1203","7",חיפה,"4000",חיפה,235,"232","הרקפות,11 ",מתחם גני ילדים,כ,כ,"537"
"1204","7",חיפה,"4000",חיפה,241,"98","לאה,11 ",גן מעין, , ,"669"
"1205","7",חיפה,"4000",חיפה,254.1,"269","לאה,39 ",גני ילדים, , ,"682"
"1206","7",חיפה,"4000",חיפה,254.2,"269","לאה,39 ",גני ילדים, , ,"682"
"1207","7",חיפה,"4000",חיפה,254.3,"269","לאה,39 ",גני ילדים, , ,"681"
"1208","7",חיפה,"4000",חיפה,257,"232","הרקפות,11 ",מתחם גני ילדים,כ, ,"638"
"1209","7",חיפה,"4000",חיפה,259.1,"62","שד הנשיא,142 ",בית הכט,כ,כ,"699"
"1210","7",חיפה,"4000",חיפה,259.2,"62","שד הנשיא,142 ",בית הכט,כ,כ,"699"
"1211","7",חיפה,"4000",חיפה,259.3,"62","שד הנשיא,142 ",בית הכט, , ,"699"
"1212","7",חיפה,"4000",חיפה,259.4,"62","שד הנשיא,142 ",בית הכט, , ,"699"
"1213","7",חיפה,"4000",חיפה,260,"124","הטנא,2 ",עירוני ה חטיבת בינים, , ,"588"
"1214","7",חיפה,"4000",חיפה,272,"250","שונית,12 ",אשכול גני ילדים, , ,"584"
"1215","7",חיפה,"4000",חיפה,279,"273","שומאכר גוטליב,4 ",מועדון הנוער הנוצרי, , ,"487"
"1216","7",חיפה,"4000",חיפה,280,"186","שבתאי לוי,24 ",בית המהנדס, , ,"595"
"1217","7",חיפה,"4000",חיפה,281,"186","שבתאי לוי,24 ",בית המהנדס, , ,"561"
"1218","7",חיפה,"4000",חיפה,298.1,"68","שפרעם,10 ",עיריית חיפה - אגף הביטחון, , ,"371"
"1219","7",חיפה,"4000",חיפה,298.2,"68","שפרעם,10 ",עיריית חיפה - אגף הביטחון, , ,"370"
"1220","7",חיפה,"4000",חיפה,300,"250","שונית,12 ",אשכול גני ילדים, , ,"581"
"1221","7",חיפה,"4000",חיפה,301,"58","פרץ י. ל.,20 ",בית ארדשטיין, , ,"582"
"1222","7",חיפה,"4000",חיפה,302,"102","הלילך,26 ",גן שקמה, , ,"498"
"1223","7",חיפה,"4000",חיפה,304.1,"270","ברוואלד,5 ",ערית חיפה אגף האכיפה והגביה, , ,"681"
"1224","7",חיפה,"4000",חיפה,304.2,"270","ברוואלד,5 ",ערית חיפה אגף האכיפה והגביה, , ,"680"
"1225","7",חיפה,"4000",חיפה,306,"189","אימבר נפתלי,1 ",מועדונית יודפת, , ,"532"
"1226","7",חיפה,"4000",חיפה,320.1,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"621"
"1227","7",חיפה,"4000",חיפה,320.2,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"621"
"1228","7",חיפה,"4000",חיפה,320.3,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"621"
"1229","7",חיפה,"4000",חיפה,320.4,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"621"
"1230","7",חיפה,"4000",חיפה,320.5,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"621"
"1231","7",חיפה,"4000",חיפה,320.6,"188","בצלאל,5 ",ת.דתי לבנות בית יעקב, , ,"617"
"1232","7",חיפה,"4000",חיפה,322,"124","הטנא,2 ",עירוני ה חטיבת בינים, , ,"547"
"1233","7",חיפה,"4000",חיפה,339,"93","חטיבת כרמלי,42א",מרכז הנוער בית מגנצא, , ,"597"
"1234","7",חיפה,"4000",חיפה,343.1,"130","בן בבא,4 ",תלמוד תורה תורת אמת, , ,"581"
"1235","7",חיפה,"4000",חיפה,343.2,"130","בן בבא,4 ",תלמוד תורה תורת אמת, , ,"581"
"1236","7",חיפה,"4000",חיפה,343.3,"130","בן בבא,4 ",תלמוד תורה תורת אמת, , ,"581"
"1237","7",חיפה,"4000",חיפה,343.4,"130","בן בבא,4 ",תלמוד תורה תורת אמת, , ,"581"
"1238","7",חיפה,"4000",חיפה,343.5,"130","בן בבא,4 ",תלמוד תורה תורת אמת, , ,"577"
"1239","7",חיפה,"4000",חיפה,350.1,"71","מימון הרב,23 ",עירוני ג חטיבת בינים בנין מצדה, , ,"579"
"1240","7",חיפה,"4000",חיפה,350.2,"71","מימון הרב,23 ",עירוני ג חטיבת בינים בנין מצדה, , ,"579"
"1241","7",חיפה,"4000",חיפה,350.3,"71","מימון הרב,23 ",עירוני ג חטיבת בינים בנין מצדה, , ,"579"
"1242","7",חיפה,"4000",חיפה,350.4,"71","מימון הרב,23 ",עירוני ג חטיבת בינים בנין מצדה, , ,"579"
"1243","7",חיפה,"4000",חיפה,354.1,"28","רבי עקיבא,40 ",אולפנת צביה, , ,"609"
"1244","7",חיפה,"4000",חיפה,354.2,"28","רבי עקיבא,40 ",אולפנת צביה, , ,"609"
"1245","7",חיפה,"4000",חיפה,354.3,"28","רבי עקיבא,40 ",אולפנת צביה, , ,"609"
"1246","7",חיפה,"4000",חיפה,360.1,"132","לוין גוטל,22 ",גן ילדים אודם, , ,"594"
"1247","7",חיפה,"4000",חיפה,361,"217","לוין גוטל,22א",מרכז קהילתי רמת ספיר,כ,כ,"365"
"1248","7",חיפה,"4000",חיפה,362,"217","לוין גוטל,22א",מרכז קהילתי רמת ספיר, , ,"558"
"1249","7",חיפה,"4000",חיפה,375,"256","הירדן,23 ",מרכז קהילתי, , ,"636"
"1250","7",חיפה,"4000",חיפה,377,"195","החשמל,22 ",המכללה להכשרת מורים,כ, ,"636"
"1251","7",חיפה,"4000",חיפה,379,"93","חטיבת כרמלי,42א",מרכז הנוער בית מגנצא, , ,"617"
"1252","7",חיפה,"4000",חיפה,381,"93","חטיבת כרמלי,42א",מרכז הנוער בית מגנצא, , ,"533"
"1253","7",חיפה,"4000",חיפה,382,"195","החשמל,22 ",המכללה להכשרת מורים,כ,כ,"629"
"1254","7",חיפה,"4000",חיפה,385.1,"198","פרץ מרקיש,5 ",גן ילדים נוף,כ,כ,"590"
"1255","7",חיפה,"4000",חיפה,388,"256","הירדן,23 ",מרכז קהילתי, , ,"603"
"1256","7",חיפה,"4000",חיפה,412,"261","צ'רניאבסקי אהרון,14 ",גן פריאל, , ,"606"
"1257","7",חיפה,"4000",חיפה,418,"57","סילבר אבא הלל,71 ",בית אבא חושי,כ, ,"596"
"1258","7",חיפה,"4000",חיפה,419,"57","סילבר אבא הלל,71 ",בית אבא חושי,כ, ,"510"
"1259","7",חיפה,"4000",חיפה,423,"57","סילבר אבא הלל,71 ",בית אבא חושי,כ,כ,"466"
"1260","7",חיפה,"4000",חיפה,425,"274","ורדיה,15 ",גן שושן, , ,"606"
"1261","7",חיפה,"4000",חיפה,426,"229","טשרניחובסקי,73 ",מכללת גורדון,כ,כ,"605"
"1262","7",חיפה,"4000",חיפה,428,"274","ורדיה,15 ",גן שושן, , ,"675"
"1263","7",חיפה,"4000",חיפה,429,"218","צבעוני,17 ",גן ילדים נחל, , ,"545"
"1264","7",חיפה,"4000",חיפה,433,"57","סילבר אבא הלל,71 ",בית אבא חושי,כ, ,"478"
"1265","7",חיפה,"4000",חיפה,434,"275","צבעוני,17 ",גן ניצן, , ,"681"
"1266","7",חיפה,"4000",חיפה,450,"180","מאיר גולדה,29 ",גן מיתר, , ,"679"
"1267","7",חיפה,"4000",חיפה,460,"217","לוין גוטל,22א",מרכז קהילתי רמת ספיר,כ, ,"494"
"1268","7",חיפה,"4000",חיפה,466,"250","שונית,12 ",אשכול גני ילדים, , ,"677"
"1269","7",חיפה,"4000",חיפה,701,"203","בית אלפא,80 ",מרכז יום לקשיש,כ,כ,"605"
"1270","7",חיפה,"4000",חיפה,702,"245","הקונגרס,43 ",מדע קט,כ,כ,"626"
"1271","7",חיפה,"4000",חיפה,703,"245","הקונגרס,43 ",מדע קט,כ, ,"625"
"1272","7",חיפה,"4000",חיפה,707,"244","הקונגרס,43א",בית היינה,כ, ,"533"
"1273","7",חיפה,"4000",חיפה,708,"244","הקונגרס,43א",בית היינה,כ,כ,"477"
"1274","7",חיפה,"4000",חיפה,717,"203","בית אלפא,80 ",מרכז יום לקשיש,כ, ,"525"
"1275","7",חיפה,"4000",חיפה,721.1,"265","הגדוד העברי,48 ",תיכון ק.חיים בניין שקד,כ,כ,"656"
"1276","7",חיפה,"4000",חיפה,721.2,"265","הגדוד העברי,48 ",תיכון ק.חיים בניין שקד,כ, ,"656"
"1277","7",חיפה,"4000",חיפה,721.3,"265","הגדוד העברי,48 ",תיכון ק.חיים בניין שקד,כ, ,"656"
"1278","7",חיפה,"4000",חיפה,721.4,"265","הגדוד העברי,48 ",תיכון ק.חיים בניין שקד,כ, ,"653"
"1279","7",חיפה,"4000",חיפה,726,"65","בן צבי יצחק,14 ",מרכז קהילתי בית נגלר,כ, ,"607"
"1280","7",חיפה,"4000",חיפה,727,"65","בן צבי יצחק,14 ",מרכז קהילתי בית נגלר,כ, ,"572"
"1281","7",חיפה,"4000",חיפה,733,"65","בן צבי יצחק,14 ",מרכז קהילתי בית נגלר, , ,"586"
"1282","7",חיפה,"4000",חיפה,739,"65","בן צבי יצחק,14 ",מרכז קהילתי בית נגלר,כ,כ,"505"
"1283","7",חיפה,"4000",חיפה,990.1,"231","חסן שוקרי,11 ",עיריית חיפה - מרכז שירות לתושב,כ,כ,"564"
"1284","7",חיפה,"4000",חיפה,990.2,"231","חסן שוקרי,11 ",עיריית חיפה - מרכז שירות לתושב,כ, ,"564"
"1285","8",קריות,"278",אושה,1,"1",אושה,מועדון לחבר,כ,כ,"403"
"1286","8",קריות,"313",אפק,1,"1",אפק,מועדון לחבר - באולם המרכזי,כ,כ,"544"
"1287","8",קריות,"1321",ח'ואלד,1,"2","ח'ואלד (שבט),ח'ואלד (שבט)",טיפת חלב-תחנה לבריאות המשפחה, , ,"552"
"1288","8",קריות,"2100",טירת כרמל,7,"15","הדקל,7 ",גן ילדים סביון, , ,"630"
"1289","8",קריות,"2100",טירת כרמל,8,"6","הצנחנים,15 ",גן ילדים רותם, , ,"613"
"1290","8",קריות,"2100",טירת כרמל,9,"19","הצנחנים,13 ",גן ילדים רקפת, , ,"592"
"1291","8",קריות,"2100",טירת כרמל,12,"29","אלבז נתן,28 ",גן ילדים תמר, , ,"639"
"1292","8",קריות,"2100",טירת כרמל,14,"10","בן צבי,24א",מרכז הפעוט שלוחת בן צבי, , ,"672"
"1293","8",קריות,"2100",טירת כרמל,15,"18","הרב ברזני סולימן,14 ",גן ילדים חבצלת, , ,"430"
"1294","8",קריות,"2100",טירת כרמל,18,"28","אלבז נתן,28 ",גן כלנית, , ,"631"
"1295","8",קריות,"2100",טירת כרמל,26,"24","חצב,5 ",גן הרדוף, , ,"555"
"1296","8",קריות,"2100",טירת כרמל,31,"26","חצב,5 ",גן ילדים אשל, , ,"467"
"1297","8",קריות,"2100",טירת כרמל,950,"27","חצב,6 ",בית מרדכי (בני עקיבא), , ,"629"
"1298","8",קריות,"96",יגור,1.1,"1",יגור,בית בר יהודה,כ,כ,"467"
"1299","8",קריות,"96",יגור,1.2,"1",יגור,בית בר יהודה, , ,"467"
"1300","8",קריות,"96",יגור,1.3,"1",יגור,בית בר יהודה, , ,"467"
"1301","8",קריות,"220",כפר ביאליק,1,"1","מיכאל,25 ",בית הועד המקומי, , ,"474"
"1302","8",קריות,"427",כפר גלים,1,"1",כפר גלים,אולם הישיבות,כ,כ,"116"
"1303","8",קריות,"254",כפר המכבי,1,"1",כפר המכבי,מועדון לחבר,כ,כ,"323"
"1304","8",קריות,"112",כפר חסידים א',1,"1",כפר חסידים א',גן ילדים גפן,כ,כ,"538"
"1305","8",קריות,"889",כפר חסידים ב',1,"2",כפר חסידים ב',גן גפן,כ,כ,"226"
"1306","8",קריות,"2500",נשר,1,"8","אורח חיים,1 ",בית לנדאו,כ,כ,"539"
"1307","8",קריות,"2500",נשר,2,"8","אורח חיים,1 ",בית לנדאו,כ, ,"562"
"1308","8",קריות,"2500",נשר,3,"28","התשבי,30 ",בית יהושע - בית ספר, , ,"572"
"1309","8",קריות,"2500",נשר,4,"8","אורח חיים,1 ",בית לנדאו, , ,"501"
"1310","8",קריות,"2500",נשר,5.1,"6","שקד,19 ",מכללה טכנולוגית נשר, , ,"501"
"1311","8",קריות,"2500",נשר,5.2,"6","שקד,19 ",מכללה טכנולוגית נשר, , ,"500"
"1312","8",קריות,"2500",נשר,7.1,"30","דרך השלום,26 ",היכל התרבות,כ,כ,"671"
